study,name,title,author,year,abstract,cite,type,studies,url,doi
soep-is,8846,Life Satisfaction and Job-Seeking Behavior of the Unemployed: The Effect of Individual Differences in Justice Sensitivity,"Olga Stavrova, Thomas Schlösser, Anna Baumert",2014,"This study examines the effect of justice sensitivity on the life satisfaction and job-seeking behavior of unemployed individuals and considers the likelihood of experiencing long-term unemployment. We focus on two facets of dispositional justice sensitivity that reflect individual differences in perception and reactions to perpetrating injustice against others (perpetrator sensitivity) or suffering from the injustice of others as an innocent victim (victim sensitivity). We hypothesised that the negative effect of unemployment on life satisfaction is stronger among individuals with higher levels of victim sensitivity and perpetrator sensitivity. The former are more likely to perceive themselves as victims of an unjust situation, such as fate or the employer's decisions, whereas the latter are more likely to perceive themselves as perpetrators against the rules of social justice. Using survey data from approximately 400 participants, we found that unemployed individuals were less satisfied with life than employed individuals and that this relationship was stronger for perpetrator-sensitive individuals. Unemployed perpetrator-sensitive individuals were more likely to engage in active job-seeking behavior and faced a lower likelihood of long-term unemployment. The results are discussed in terms of the importance of justice-related personality aspects of unemployed individuals for their well-being and labor market outcomes.","Olga Stavrova, Thomas Schlösser, Anna Baumert. 2014: Life Satisfaction and Job-Seeking Behavior of the Unemployed: The Effect of Individual Differences in Justice Sensitivity. Applied Psychology 63 (4), 643-670",02 SSCI Journal,SOEP-IS,,10.1111/apps.12009
soep-is,8991,Sustainable consumption in capability perspective: Operationalization and empirical illustration,"Ortrud Leßmann, Torsten Masson",2015,"The present research combines the capability approach (CA) with the theory of planned behavior (TPB) to investigate the effects of social norms and personal autonomy on sustainable consumption behavior. The approaches bear some similarities, but differ in that the CA attaches more importance to autonomy and highlights the indirect effects of social influence. In contrast to TPB, the CA suggests indirect norm effects (on behavior) by shaping attitudes and the perception of freedom of choice. Furthermore, the CA hints at the motivational power of personal autonomy for behavioral choices. We develop a combined model to test our assumptions for two sustainable consumption behaviors (i.e., purchase of organic food and mobility behavior). Testing the combined model based on cross-sectional data of the German socio-economic panel (GSOEP-IS) confirms the significance of the CA for sustainable consumption. The policy implications of the findings are enhancing people's opportunities for sustainable consumption in order to strengthen sustainable behavior.","Ortrud Leßmann, Torsten Masson. 2015: Sustainable consumption in capability perspective: Operationalization and empirical illustration. Journal of Behavioral and Experimental Economics 57 (August 2015), 64-72",02 SSCI Journal,SOEP-IS,,10.1016/j.socec.2015.04.001
soep-is,9341,Entering adulthood in a recession tempers later narcissism – But only in men,"Marius Leckelt, Mitja D. Back, Joshua D. Foster, Roos Hutteman, Garrett Jaeger, Jessica McCain, Jean M. Twenge, W. Keith Campbell",2016,"In a recent study, Bianchi (2014) showed that macroeconomic conditions (i.e. average unemployment rate) during the years of emerging adulthood (ages 18–25) are inversely related to adult narcissism. Fletcher (2015) called into question the robustness of the results and Grijalva et al. (2015) presented meta-analytic support for real gender differences in narcissism. Here we report combined results from five studies (N = 11,394) showing that the average unemployment rate during emerging adulthood indeed tempers later narcissism – but only in men.","Marius Leckelt, Mitja D. Back, Joshua D. Foster, Roos Hutteman, Garrett Jaeger, Jessica McCain, Jean M. Twenge, W. Keith Campbell. 2016: Entering adulthood in a recession tempers later narcissism – But only in men. Journal of Research in Personality 60 ((February 2016)), 8-11",02 SSCI Journal,SOEP-IS,https://www.diw.de/documents/publikationen/73/diw_01.c.550212.de/diw_sp0886.pdf,10.1016/j.jrp.2015.10.006
soep-is,9368,The Validity of the Day Reconstruction Method in the German Socio-economic Panel Study,"Ivana Anusic, Richard E. Lucas, M. Brent Donnellan",2017,"The Day Reconstruction Method (DRM) is a useful tool for evaluating short-term changes in emotional experiences over a variety of daily situations. However, traditional method of collecting DRM data can be time-intensive for both researchers and participants. In this paper we provide evidence that a random-sampling approach to DRM assessment can provide useful data that are largely consistent with previous research that used the full version of the DRM. In a nationally representative sample of 2303 people, we demonstrate that (1) there is variability in emotional ratings of episodes that replicates what has been found in prior studies, (2) correlations with global measures are typically small in magnitude (<0.30), (3) correlations with personality are for the most part negligible, (4) correlations with global ratings of domain satisfaction are higher for domain-relevant situations, and (5) parents report more positive affect while providing care for their children when compared to other activities, and this effect can account for the observed differences in emotional experiences of parents and non-parents.","Ivana Anusic, Richard E. Lucas, M. Brent Donnellan. 2017: The Validity of the Day Reconstruction Method in the German Socio-economic Panel Study. Social Indicators Research 130 (1), 213-232",02 SSCI Journal,SOEP-IS,,10.1007/s11205-015-1172-6
soep-is,9583,"Principles of the Just Distribution of Benefits and Burdens: The ""Basic Social Justice Orientations"" Scale for Measuring Order-Related Social Justice Attitudes","Stefan Liebig, Sebastian Hülle, Meike May",2016,"The paper introduces a short scale for measuring attitudes to four fundamental principles of the just distribution of benefits and burdens in a society. The Basic Social Justice Orientations (BSJO) scale is an eight-item scale that measures agreement with the equality, equity, need, and entitlement principle. In contrast to comparable other scales that have been used in justice research in the past, the BSJO scale is consistent with the current state of empirical justice research andallows for the study of the constructs distinguished by studies in that area and, more specifically, in the context of population surveys and with respect to societal distribution conflicts. The paper reports the methodological aspects of the construction and use of the scale in population surveys, as well as results concerning reliability and construct validation. The study uses data from three general social surveys that have been conducted in Germany: LINOS-1, SOEP Innovation Sample 2012, and ALLBUS 2014. The analysis of these three data sets confirms the assumed four-factorial structure of the justice dimensions, and the validation of the construct confirms the hypothesized relationships between the dimensions of the BSJO scale and socio-structural characteristics, political attitudes, and other justice related attitudes.","Stefan Liebig, Sebastian Hülle, Meike May. 2016: Principles of the Just Distribution of Benefits and Burdens: The ""Basic Social Justice Orientations"" Scale for Measuring Order-Related Social Justice Attitudes. SOEPpapers 831. Berlin: DIW Berlin",32 SOEPpaper,"SOEP-IS, ALLBUS, LINOS-1",https://www.diw.de/documents/publikationen/73/diw_01.c.530548.de/diw_sp0831.pdf,
soep-is,9627,The SOEP Innovation Sample (SOEP IS),"David Richter, Jürgen Schupp",2015,,"David Richter, Jürgen Schupp. 2015: The SOEP Innovation Sample (SOEP IS). Schmollers Jahrbuch 135 (3), 389-399",03 Refereed Journal,SOEP-IS,,10.3790/schm.135.3.389
soep-is,9633,SOEP-IS 2014 – Fragebogen für die SOEP-Innovations-Stichprobe (Aufwuchsstichprobe),SOEP-IS Group,2016,,SOEP-IS Group. 2016: SOEP-IS 2014 – Fragebogen für die SOEP-Innovations-Stichprobe (Aufwuchsstichprobe). SOEP Survey Papers 332 : Series A - Survey Instruments (Erhebungsinstrumente). Berlin: DIW Berlin,35 Other DIW Publication,soep.is,http://hdl.handle.net/10419/142783,
soep-is,9634,SOEP-IS 2013 – Fragebogen für die SOEP-Innovations-Stichprobe,SOEP-IS Group,2016,,SOEP-IS Group. 2016: SOEP-IS 2013 – Fragebogen für die SOEP-Innovations-Stichprobe. SOEP Survey Papers 333: Series A - Survey Instruments (Erhebungsinstrumente). Berlin: DIW Berlin,35 Other DIW Publication,soep.is,http://hdl.handle.net/10419/142784,
soep-is,9637,The effect of face-to-face interviewing on personality measurement,"Luisa Hilgert, Martin Kroh, David Richter",2016,"In recent years, an increasing number of nationally representative surveys in the social sciences and economics have implemented the Big Five model of personality. While many personality inventories were originally developed in the context of self-administered questionnaires, they are often used by large surveys in face-to-face interview settings instead. Drawing on an experimental research design, we studied the effect of this switch in the method of data collection on measurement invariance as well as measurement error and interviewer effects in the Innovation Sample of the German Socio-Economic Panel (SOEP-IS). Although in some cases we found slightly stronger associations between interviewer and respondent personality in face-to-face settings, the results generally suggested strict measurement invariance–and therefore full comparability–across methods of data collection.","Luisa Hilgert, Martin Kroh, David Richter. 2016: The effect of face-to-face interviewing on personality measurement. Journal of Research in Personality 63 (August 2016), 133-136",02 SSCI Journal,SOEP-IS,,10.1016/j.jrp.2016.05.006
soep-is,9644,"Income Reliably Predicts Daily Sadness, but Not Happiness: A Replication and Extension of Kushlev, Dunn, and Lucas (2015)","Nathan W. Hudson, Richard E. Lucas, M. Brent Donnellan, Kostadin Kushlev",2016,"Kushlev, Dunn, and Lucas (2015) found that income predicts less daily sadness—but not greater happiness—among Americans. The present study used longitudinal data from an approximately representative German sample to replicate and extend these findings. Our results largely replicated Kushlev et al.’s results: Income predicted less daily sadness (albeit with a smaller effect size) but was unrelated to happiness. Moreover, the association between income and sadness could not be explained by demographics, stress, or daily time use. Extending Kushlev et al.’s findings, new analyses indicated that only between-persons variance in income (but not within-persons variance) predicted daily sadness—perhaps because there was relatively little within-persons variance in income. Finally, income predicted less daily sadness and worry, but not less anger or frustration—potentially suggesting that income predicts less “internalizing” but not less “externalizing” negative emotions. Together, our study and Kushlev et al.’s study provide evidence that income robustly predicts select daily negative emotions—but not positive ones.","Nathan W. Hudson, Richard E. Lucas, M. Brent Donnellan, Kostadin Kushlev. 2016: Income Reliably Predicts Daily Sadness, but Not Happiness: A Replication and Extension of Kushlev, Dunn, and Lucas (2015). Social Psychological and Personality Science 7 (8), 828-836",02 SSCI Journal,SOEP-IS,,10.1177/1948550616657599
soep-is,9701,SOEP-IS 2013 – Fragebogen für die SOEP-Innovations-Stichprobe (Aufwuchsstichprobe),SOEP-IS Group,2016,,SOEP-IS Group. 2016: SOEP-IS 2013 – Fragebogen für die SOEP-Innovations-Stichprobe (Aufwuchsstichprobe). SOEP Survey Papers 334: Series A - Survey Instruments (Erhebungsinstrumente). Berlin: DIW Berlin,35 Other DIW Publication,soep.is,http://hdl.handle.net/10419/142785,
soep-is,9702,SOEP-IS 2012 – Fragebogen für die SOEP-Innovations-Stichprobe,SOEP-IS Group,2016,,SOEP-IS Group. 2016: SOEP-IS 2012 – Fragebogen für die SOEP-Innovations-Stichprobe. SOEP Survey Papers 335: Series A - Survey Instruments (Erhebungsinstrumente). Berlin: DIW Berlin,35 Other DIW Publication,soep.is,http://hdl.handle.net/10419/142786,
soep-is,9703,SOEP-IS 2012 – Fragebogen für die SOEP-Innovations-Stichprobe (Aufwuchsstichprobe),SOEP-IS Group,2016,,SOEP-IS Group. 2016: SOEP-IS 2012 – Fragebogen für die SOEP-Innovations-Stichprobe (Aufwuchsstichprobe). SOEP Survey Papers 336: Series A - Survey Instruments (Erhebungsinstrumente). Berlin: DIW Berlin,35 Other DIW Publication,soep.is,http://hdl.handle.net/10419/146881,
soep-is,9704,SOEP-IS 2011 – Fragebogen für die SOEP-Innovations-Stichprobe,SOEP-IS Group,2016,,SOEP-IS Group. 2016: SOEP-IS 2011 – Fragebogen für die SOEP-Innovations-Stichprobe. SOEP Survey Papers 337: Series A - Survey Instruments (Erhebungsinstrumente). Berlin: DIW Berlin,35 Other DIW Publication,soep.is,http://hdl.handle.net/10419/146882,
soep-is,9705,SOEP-IS 2013 – Methodenbericht zum Befragungsjahr 2013/2014 des SOEP-Innovationssamples,"Anne Bohlender, Axel Glemser",2016,,"Anne Bohlender, Axel Glemser. 2016: SOEP-IS 2013 – Methodenbericht zum Befragungsjahr 2013/2014 des SOEP-Innovationssamples. SOEP Survey Papers 338: Series B - Survey Reports (Methodenberichte). Berlin: DIW Berlin",35 Other DIW Publication,soep.is,http://hdl.handle.net/10419/146883,
soep-is,9706,SOEP-IS 2014 – Methodenbericht zum Befragungsjahr 2014 des SOEP-Innovationssamples,"Anne Bohlender, Axel Glemser",2016,,"Anne Bohlender, Axel Glemser. 2016: SOEP-IS 2014 – Methodenbericht zum Befragungsjahr 2014 des SOEP-Innovationssamples. SOEP Survey Papers 339: Series B - Survey Reports (Methodenberichte). Berlin: DIW Berlin",35 Other DIW Publication,soep.is,http://hdl.handle.net/10419/146884,
soep-is,9707,SOEP-IS 2015 – Methodenbericht zum Befragungsjahr 2015 des SOEP-Innovationssamples,"Anne Bohlender, Axel Glemser",2016,,"Anne Bohlender, Axel Glemser. 2016: SOEP-IS 2015 – Methodenbericht zum Befragungsjahr 2015 des SOEP-Innovationssamples. SOEP Survey Papers 340: Series B - Survey Reports (Methodenberichte). Berlin: DIW Berlin",35 Other DIW Publication,soep.is,http://hdl.handle.net/10419/146885,
soep-is,9708,Day-To-Day Affect is Surprisingly Stable: A 2-Year Longitudinal Study of Well-Being,"Nathan W. Hudson, Richard E. Lucas, M. Brent Donnellan",2017,"Previous research suggests global assessments of cognitive well-being—life satisfaction—are relatively stable over time. Far fewer studies have examined the extent to which experiential measures of affective well-being—the moods/emotions people regularly experience—are stable, especially over extended periods of time. The present study used longitudinal data from a representative sample of Germans to investigate the long-term stability of different components of well-being. Participants provided global ratings of life satisfaction and affect, along with experiential measures of well-being up to 3 times over 2 years. Results indicated between one-third and one half of the variance in people’s daily affect was attributable to trait-like latent variables. Replicating meta-analytic findings, 50% of the variance in global measures of well-being was attributable to trait-like latent variables.","Nathan W. Hudson, Richard E. Lucas, M. Brent Donnellan. 2017: Day-To-Day Affect is Surprisingly Stable: A 2-Year Longitudinal Study of Well-Being. Social Psychological and Personality Science 8 (1), 45-54",02 SSCI Journal,SOEP-IS,,10.1177/1948550616662129
soep-is,9733,Solidarität mit in Not geratenen Ländern der Europäischen Union: Ergebnisse einer Befragung des Sozio-oekonomischen Panels 2015,"Holger Lengfeld, Martin Kroh",2016,"Als Reaktion auf die europäische Staatsschulden- und Währungskrise hat die EU zumindest für die Eurozone den Weg in Richtung einer fiskalischen Solidargemeinschaft eingeschlagen. Befragungsdaten des Sozio-oekonomischen Panels (SOEP) zeigen, dass knapp die Hälfte aller Erwachsenen in Deutschland Hilfeleistungen für in Finanzierungsschwierigkeiten geratene Länder der EU generell unterstützt. Knapp jede dritte befragte Person befürwortet darüber hinaus einen individuellen hypothetischen ""Solidaritätsbeitrag"" für Krisenländer. Im Gegenzug erwartet die Mehrheit der Menschen in Deutschland, dass Krisenländer Ausgaben im öffentlichen Sektor senken und Privatisierungen vorantreiben. Lediglich eine Minderheit fordert die Kürzung von Sozialausgaben im Krisenland.                                       In response to the European sovereign debt and currency crisis, the EU has begun to implement measures toward fiscal solidarity at least for the euro area. Survey data from the Socio-Economic Panel (SOEP) study show that just under half of all adults in Germany generally support providing assistance to EU countries experiencing financial difficulties. Almost one in three respondents also advocate the idea of an individual solidarity contribution for countries in crisis. In return, the majority of people in Germany expect these countries to reduce public spending and forge ahead with privatization. Only a minority call for the crisis country to make cuts in its social spending.","Holger Lengfeld, Martin Kroh. 2016: Solidarität mit in Not geratenen Ländern der Europäischen Union: Ergebnisse einer Befragung des Sozio-oekonomischen Panels 2015. DIW Wochenbericht 83 (39), 871-878",05 DIW Weekly Report,SOEP-IS,https://www.diw.de/documents/publikationen/73/diw_01.c.543283.de/16-39-1.pdf,
soep-is,9734,Solidarity with EU Countries in Crisis: Results of a 2015 Socio-Economic Panel (SOEP) Survey,"Holger Lengfeld, Martin Kroh",2016,"In response to the European sovereign debt and currency crisis, the EU has begun to implement measures toward fiscal solidarity at least for the euro area. Survey data from the Socio-Economic Panel (SOEP) study show that just under half of all adults in Germany generally support providing assistance to EU countries experiencing financial difficulties. Almost one in three respondents also advocate the idea of an individual solidarity contribution for countries in crisis. In return, the majority of people in Germany expect these countries to reduce public spending and forge ahead with privatization. Only a minority call for the crisis country to make cuts in its social spending.","Holger Lengfeld, Martin Kroh. 2016: Solidarity with EU Countries in Crisis: Results of a 2015 Socio-Economic Panel (SOEP) Survey. DIW Economic Bulletin 6 (39), 473-479",05 DIW Weekly Report,SOEP-IS,https://www.diw.de/documents/publikationen/73/diw_01.c.543717.de/diw_econ_bull_2016-39-1.pdf,
soep-is,9841,"Getting Older, Feeling Less? A Cross-Sectional and Longitudinal Investigation of Developmental Patterns in Experiential Well-Being","Nathan W. Hudson, Richard E. Lucas, M. Brent Donnellan",2016,"A large body of previous research suggests that people’s global evaluations of their well-being tend to increase as a function of age. Fewer studies, however, have examined the extent to which people’s in vivo experiences of well-being (e.g., felt emotions) vary as a function of age—and the existing findings are mixed. The present study used an approximately nationally representative sample of more than 2,500 Germans to evaluate developmental patterns in both experiential and global well-being using cross-sectional and longitudinal analyses. The cross-sectional and longitudinal findings converged on the idea that affect—whether positive or negative, global or experiential—decreases as a function of age and time. In contrast, life satisfaction appears to remain consistent, or perhaps decline across midlife before rebounding in old age. These findings suggest that affective well-being may develop in a nuanced way across adulthood: Negative affect appears to ebb with age—but so does positive affect.","Nathan W. Hudson, Richard E. Lucas, M. Brent Donnellan. 2016: Getting Older, Feeling Less? A Cross-Sectional and Longitudinal Investigation of Developmental Patterns in Experiential Well-Being. Psychology and Aging 31 (8), 847-861",02 SSCI Journal,SOEP-IS,,10.1037/pag0000138
soep-is,9918,Validation of the Narcissistic Admiration and Rivalry Questionnaire Short Scale (NARQ-S) in Convenience and Representative Samples,"Marius Leckelt, Eunike Wetzel, Tanja M. Gerlach, Robert A. Ackermann, Joshua D. Miller, William J. Chopik, Lars Penke, Katharina Geukes, Albrecht C. Küfner, Roos Hutteman, David Richter, Karl-Heinz Renner, Marc Allroggen, Courtney Brecheen, W. Keith Campbell, Igor Grossmann, Mitja D. Back",2018,"Due to increased empirical interest in narcissism across social sciences, there is a need for inventories that can be administered quickly while also reliably measuring both the agentic and antagonistic aspects of grandiose narcissism. In this study, we sought to validate the factor structure, provide representative descriptive data and reliability estimates, assess the reliability across the trait spectrum, and examine the nomological network of the short version (NARQ-S) of the Narcissistic Admiration and Rivalry Questionnaire (Back et al., 2013). We used data from a large convenience sample (total N = 11,937) as well as data from a large representative sample (total N = 4,433) that included responses to other narcissism measures as well as related constructs, including the other Dark Triad traits, Big Five personality traits, and self-esteem. Confirmatory factor analysis and Item Response Theory were used to validate the factor structure and estimate the reliability across the latent trait spectrum, respectively. Results suggest that the NARQ-S shows a robust factor structure and is a reliable and valid short measure of the agentic and antagonistic aspects of grandiose narcissism. We also discuss future directions and applications of the NARQ-S as a short and comprehensive measure of grandiose narcissism.","Marius Leckelt, Eunike Wetzel, Tanja M. Gerlach, Robert A. Ackermann, Joshua D. Miller, William J. Chopik, Lars Penke, Katharina Geukes, Albrecht C. Küfner, Roos Hutteman, David Richter, Karl-Heinz Renner, Marc Allroggen, Courtney Brecheen, W. Keith Campbell, Igor Grossmann, Mitja D. Back. 2018: Validation of the Narcissistic Admiration and Rivalry Questionnaire Short Scale (NARQ-S) in Convenience and Representative Samples. Psychological Assessment 30 (1), 86-96",02 SSCI Journal,SOEP-IS,https://www.diw.de/documents/publikationen/73/diw_01.c.550208.de/diw_sp0884.pdf,10.1037/pas0000433
